name,ranking,tag_lst,key_major_count,graduate_program_count,doctoral_program_count,is_211,is_985,location_province,location_city,university_type,latitude,longitude
中国农业大学,35,"['双一流A', '985', '211', '北京市', '教育部', '农业院校']",24,171,95,True,True,北京市,北京市,农业院校,40.010185290656025,116.36415448907363
郑州大学,36,"['双一流B', '211', '郑州市', '河南省教育厅', '综合院校']",6,298,138,True,False,河南省,郑州市,综合院校,34.82320656388542,113.54224612614411
电子科技大学,37,"['双一流A', '985', '211', '成都市', '教育部', '工科院校']",6,68,50,True,True,四川省,成都市,工科院校,30.556972940437905,104.27606327539083
南京航空航天大学,38,"['211', '南京市', '工业和信息化部', '工科院校']",11,127,52,True,False,江苏省,南京市,工科院校,32.04119603784494,118.82673696495938
西南大学,39,"['211', '重庆市', '教育部', '综合院校']",5,204,106,True,False,重庆市,重庆市,综合院校,29.820010682616914,106.42784568682328
武汉理工大学,40,"['211', '武汉市', '教育部', '工科院校']",10,173,77,True,False,湖北省,武汉市,工科院校,30.524810896897307,114.36106803747985
江苏大学,41,"['镇江市', '江苏省教育厅', '综合院校']",3,170,42,False,False,江苏省,镇江市,综合院校,32.206296421043625,119.5206309900392
上海大学,42,"['211', '上海市', '上海市教育委员会', '综合院校']",4,221,117,True,False,上海市,上海市,综合院校,31.32005764915826,121.40221497394768
南京农业大学,43,"['211', '南京市', '教育部', '农业院校']",13,157,77,True,False,江苏省,南京市,农业院校,32.023465100673796,118.86379476216251
华中师范大学,44,"['211', '武汉市', '教育部', '师范院校']",9,184,95,True,False,湖北省,武汉市,师范院校,30.524004396179922,114.36721577089848
南京理工大学,45,"['211', '南京市', '工业和信息化部', '工科院校']",11,116,49,True,False,江苏省,南京市,工科院校,32.03161998993435,118.86341801283163
西北农林科技大学,46,"['双一流B', '985', '211', '咸阳市', '教育部', '农业院校']",7,105,71,True,True,陕西省,咸阳市,农业院校,34.291641819762745,108.07934220117825
东北大学,47,"['双一流B', '985', '211', '沈阳市', '教育部', '工科院校']",16,189,100,True,True,辽宁省,沈阳市,工科院校,41.77097080407348,123.42447701427966
北京化工大学,48,"['211', '北京市', '教育部', '工科院校']",8,104,31,True,False,北京市,北京市,工科院校,39.94827017682222,116.31022346015439
西安电子科技大学,49,"['211', '西安市', '教育部', '工科院校']",7,101,50,True,False,陕西省,西安市,工科院校,34.12952150343443,108.84005326805682
江南大学,50,"['211', '无锡市', '教育部', '综合院校']",5,125,32,True,False,江苏省,无锡市,综合院校,31.489746110278144,120.27775656030524
西南交通大学,51,"['211', '成都市', '教育部', '工科院校']",7,96,52,True,False,四川省,成都市,工科院校,30.77039889704779,103.99321381946406
华中农业大学,52,"['211', '武汉市', '教育部', '农业院校']",8,98,61,True,False,湖北省,武汉市,农业院校,30.481779897059855,114.36370797771256
南京师范大学,53,"['211', '南京市', '江苏省教育厅', '师范院校']",6,199,130,True,False,江苏省,南京市,师范院校,32.112189397026164,118.91668276855411
哈尔滨工程大学,54,"['211', '哈尔滨市', '工业和信息化部', '工科院校']",5,93,43,True,False,黑龙江省,哈尔滨市,工科院校,36.32816189134062,120.39435796295862
北京交通大学,55,"['211', '北京市', '教育部', '工科院校']",8,167,96,True,False,北京市,北京市,工科院校,39.95790209644226,116.34974000936887
东北师范大学,56,"['211', '长春市', '教育部', '师范院校']",5,185,133,True,False,吉林省,长春市,师范院校,43.86755915470996,125.33796315057786
北京科技大学,57,"['211', '北京市', '教育部', '工科院校']",12,121,73,True,False,北京市,北京市,工科院校,40.157285804152764,116.2564084024765
暨南大学,58,"['211', '广州市', '国务院侨务办公室', '综合院校']",4,189,74,True,False,广东省,广州市,综合院校,23.14100489495872,113.35615511843588
华南师范大学,59,"['211', '广州市', '广东省教育厅', '师范院校']",4,240,115,True,False,广东省,广州市,师范院校,23.04578711422463,113.411008257943
华北电力大学（北京）,60,"['211', '北京市', '教育部', '工科院校']",2,123,30,True,False,北京市,北京市,工科院校,40.09568744021479,116.31637020543697
河海大学,61,"['211', '南京市', '教育部', '工科院校']",8,230,69,True,False,江苏省,南京市,工科院校,32.06136595084591,118.76602696333964
中国海洋大学,62,"['双一流A', '985', '211', '青岛市', '教育部', '综合院校']",11,214,75,True,True,山东省,青岛市,综合院校,36.16781609781203,120.5053515138049
福州大学,63,"['211', '福州市', '福建省教育厅', '工科院校']",2,168,54,True,False,福建省,福州市,工科院校,26.06219720388769,119.20348223700448
扬州大学,64,"['扬州市', '江苏省教育厅', '综合院校']",3,233,63,False,False,江苏省,扬州市,综合院校,32.38520172281589,119.42959266728322
浙江工业大学,65,"['杭州市', '浙江省教育厅', '工科院校']",1,101,30,False,False,浙江省,杭州市,工科院校,30.298740325089813,120.17197327124738
西北大学,66,"['211', '西安市', '陕西省教育厅', '综合院校']",10,177,95,True,False,陕西省,西安市,综合院校,34.15091549849437,108.88110385359069
陕西师范大学,68,"['211', '西安市', '教育部', '师范院校']",4,205,104,True,False,陕西省,西安市,师范院校,34.160582985620294,108.90447848160473
南京医科大学,69,"['南京市', '江苏省教育厅', '医药院校']",3,84,55,False,False,江苏省,南京市,医药院校,32.05063258909142,118.78085960425929
首都医科大学,70,"['北京市', '北京市教育委员会', '医药院校']",8,78,59,False,False,北京市,北京市,医药院校,39.87084705290569,116.35973698189775
河南大学,71,"['开封市', '河南省教育厅', '综合院校']",2,302,111,False,False,河南省,开封市,综合院校,34.81767680838335,114.37567960541348
东华大学,72,"['211', '上海市', '教育部', '工科院校']",7,87,38,True,False,上海市,上海市,工科院校,31.212474837673092,121.42034295880013
合肥工业大学,73,"['211', '合肥市', '教育部', '工科院校']",4,182,67,True,False,安徽省,合肥市,工科院校,31.84747047901154,117.30299091484794
南昌大学,74,"['211', '南昌市', '江西省教育厅', '综合院校']",2,291,72,True,False,江西省,南昌市,综合院校,28.672641661805894,115.95677499100893
北京工业大学,75,"['211', '北京市', '北京市教育委员会', '工科院校']",4,142,70,True,False,北京市,北京市,工科院校,39.881251063643404,116.48815658167098
